ShanghaiOpen,ShanghaiHigh,ShanghaiLow,ShanghaiClose
1208.52,1209.49,1191.75,1194.67
1193.0,1206.67,1189.51,1206.67
1209.44,1213.73,1202.87,1206.53
1196.74,1205.75,1182.61,1188.31
1186.52,1201.8,1185.3,1201.79
1204.94,1214.0,1201.25,1213.25
1217.85,1219.28,1206.37,1207.54
1208.75,1208.98,1202.12,1206.45
1207.96,1208.62,1197.57,1200.83
1199.62,1205.83,1186.55,1199.83
1201.26,1210.53,1187.44,1190.04
1187.54,1188.28,1175.55,1178.97
1177.82,1184.96,1176.01,1184.96
1186.19,1188.62,1179.44,1188.48
1193.67,1202.84,1193.24,1202.84
1204.1,1204.74,1191.91,1193.91
1192.4,1195.83,1184.87,1188.71
1188.6,1192.32,1183.25,1187.5
1186.56,1186.86,1178.04,1179.87
1180.09,1194.06,1179.97,1194.02
1207.62,1209.77,1188.85,1191.55
1191.0,1193.82,1186.22,1188.87
1189.41,1223.93,1188.86,1223.57
1230.94,1249.44,1228.3,1249.43
1251.34,1252.24,1238.64,1243.02
1243.37,1255.01,1240.06,1254.96
1259.59,1285.03,1259.58,1269.02
1268.57,1286.11,1266.03,1286.08
1291.61,1306.38,1286.43,1306.38
1308.56,1310.29,1296.54,1303.14
1303.41,1322.83,1302.41,1322.79
1326.44,1328.79,1288.89,1297.22
1319.94,1326.3,1311.83,1318.75
1314.16,1324.71,1314.01,1324.71
1324.04,1326.42,1312.57,1316.25
1311.54,1311.73,1291.08,1298.11
1292.16,1302.98,1286.59,1296.01
1296.77,1307.86,1295.09,1305.22
1307.83,1333.07,1307.83,1322.18
1337.49,1340.25,1321.04,1324.56
1324.45,1331.86,1313.61,1315.17
1314.35,1318.8,1303.48,1310.38
1315.35,1333.09,1315.33,1332.99
1337.89,1341.58,1328.56,1332.5
1336.01,1343.46,1335.55,1343.45
1353.06,1355.52,1345.36,1352.93
1355.05,1356.06,1346.59,1352.52
1352.72,1355.66,1341.81,1348.41
1348.89,1352.55,1326.65,1327.87
1367.24,1368.03,1351.59,1354.61
1358.96,1360.06,1342.73,1349.65
1351.18,1369.3,1351.0,1369.26
1373.17,1376.3,1360.89,1367.13
1373.43,1379.13,1361.84,1368.09
1373.67,1376.38,1360.47,1368.18
1370.67,1372.87,1355.54,1362.29
1362.69,1365.1,1352.17,1357.43
