MCSFOpen,MCSFHigh,MCSFLow,MCSFClose,MCSFVolume
6.0256,6.1472,5.968999999999999,6.1148,135193247.0
6.1309,6.1472,6.0743,6.0905,80113707.0
6.122999999999999,6.2121,6.1066,6.2041,62071961.0
6.2041,6.2852,6.1798,6.2529,58314087.0
6.2608,6.2608,6.1394,6.1555,66606034.0
6.1879,6.1879,6.0581,6.1148,89267608.0
6.0825,6.1879,6.0665,6.0825,71104923.0
6.122999999999999,6.2446,6.1066,6.2365,50193651.0
6.2446,6.2852,6.2041,6.2121,49599955.0
6.3094,6.3259,6.2446,6.3177,84115650.0
6.3094,6.3177,6.2284,6.2772,50061724.0
6.2852,6.3177,6.1636,6.1636,67474591.0
6.0905,6.1394,6.0743,6.1309,95714707.0
6.1309,6.1879,6.0743,6.0905,98126865.0
6.0581,6.0665,5.968999999999999,6.0256,156403566.0
6.0337,6.1309,5.9931,6.1148,92686855.0
6.1309,6.2446,6.0905,6.2121,111891802.0
6.2121,6.2689,6.1879,6.2041,72954177.0
6.2201,6.2608,6.1961,6.2121,70418876.0
6.2284,6.2446,6.1309,6.1555,91743533.0
6.1555,6.2284,6.1309,6.1961,83181130.0
6.2041,6.2446,6.1879,6.2446,50888491.0
6.2446,6.3094,6.2041,6.2446,77690544.0
6.2446,6.2931,6.2201,6.2772,49483420.0
6.3017,6.4314,6.2931,6.4314,118763279.0
6.4314,6.5689,6.4149,6.5689,98177440.0
6.5854,6.6419,6.5122,6.5283,105466693.0
6.5205,6.5283,6.4314,6.5283,92585704.0
6.5205,6.5854,6.5041,6.5283,53038993.0
6.553,6.6342,6.4314,6.4473,111533388.0
6.5283,6.6258,6.5122,6.5933,124249466.0
6.6097,6.8042,6.6097,6.8042,158002153.0
6.8528,6.8611,6.6989,6.7797,142983856.0
6.7962,6.9016,6.7555,6.8366,135485694.0
6.8448,7.0882,6.8366,7.0882,143942561.0
7.096,7.1853,6.9663,6.9663,170216881.0
7.023,7.0313,6.8206,6.8366,179645640.0
6.8528,6.9339,6.7962,6.8448,129766432.0
6.8693,6.9824,6.8448,6.9824,103250237.0
7.0069,7.0636,6.9257,6.9908,148751497.0
7.0069,7.0799,6.9908,7.072,61082467.0
7.1610000000000005,7.1771,7.0636,7.1771,88645331.0
7.2018,7.2502,7.0313,7.0313,106594720.0
7.0556,7.0636,6.9178,6.9663,140923512.0
6.9746,7.0636,6.9095,6.9583,103003959.0
6.7797,7.023,6.7394,6.9502,151500083.0
7.1288,7.445,7.096,7.4366,130171025.0
7.6723,7.6882,7.4366,7.445,172784074.0
7.3639,7.6072,7.2908,7.5827,156062747.0
7.7288,7.752999999999999,7.3639,7.3639,107569922.0
7.3802,7.461,7.2096,7.2747,102428959.0
7.2988,7.3475,6.9583,6.9824,89168660.0
6.9663,7.2908,6.9502,7.2665,94750492.0
7.4045,7.5257,7.2747,7.5181,84927036.0
7.6393,7.7451,7.5503,7.7207,130021508.0
7.7771,7.7857,7.5827,7.6072,124256059.0
7.6477,7.7124,7.5343,7.6149,50701588.0
7.6477,7.7451,7.5587,7.7207,22327346.0
7.752999999999999,7.8338,7.7451,7.7771,38350528.0
7.7771,7.8018,7.6393,7.6637,26220445.0
7.7693,7.7857,7.5909,7.5909,37489669.0
7.6393,7.6637,7.5016,7.5181,47230675.0
7.5587,7.5587,7.3475,7.4207,74872691.0
7.4772,7.7124,7.461,7.6962,60649287.0
7.6962,7.752999999999999,7.5587,7.6723,76889058.0
7.6882,7.7451,7.5827,7.7288,50685101.0
7.7288,7.752999999999999,7.5587,7.5827,69530532.0
7.6149,7.6149,7.4772,7.4936,65640728.0
7.461,7.6723,7.4207,7.6637,91468680.0
7.7451,7.7771,7.5909,7.6149,69211699.0
7.6637,7.882999999999999,7.6637,7.7693,87581068.0
7.7857,7.8423,7.6723,7.6962,72917896.0
7.7288,7.9235,7.7288,7.8262,80654629.0
7.7857,7.9799,7.7771,7.9235,89836017.0
7.9154,8.4504,7.882999999999999,8.2558,200950524.0
8.2398,8.6449,8.1504,8.6376,157483211.0
8.6532,8.9618,8.6056,8.8557,177609496.0
8.927999999999999,9.0747,8.5964,8.6212,144366941.0
8.6532,8.8893,8.5802,8.7267,123435886.0
8.7752,8.8557,8.6848,8.7427,73199349.0
8.9448,8.9873,8.6212,8.6938,88857525.0
8.799,8.8557,8.7102,8.8488,67249200.0
8.9365,9.2126,8.9126,9.1972,109857850.0
9.2685,9.3904,9.1716,9.2769,118898514.0
8.8809,8.904,8.7512,8.8557,72213160.0
8.8557,8.927999999999999,8.7752,8.8724,77487151.0
8.8074,8.8724,8.6532,8.6612,103615254.0
8.6297,8.6766,8.5472,8.6376,84012309.0
