Date,Open,High,Low,Close,Volume
2015-02-09,38.05,38.502,38.023,38.158,34832869
2015-02-10,38.502,38.529,37.996,38.373,32935348
2015-02-11,38.418,38.418,38.023,38.177,42473082
2015-02-12,38.455,38.816,38.293,38.816,36929240
2015-02-13,39.076,39.518,38.87,39.518,44544093
2015-02-17,39.891,39.919,39.185,39.534,37139784
2015-02-18,39.582,39.647,39.365,39.49,29883208
2015-02-19,39.255,39.49,39.053,39.466,30422333
2015-02-20,39.466,39.808,39.271,39.783,32758230
2015-02-23,39.647,40.09,39.601,40.052,35844010
2015-02-24,40.052,40.189,39.844,40,27854808
2015-02-25,39.873,40,39.737,39.91,32801332
2015-02-26,39.91,40.127,39.817,39.973,31917955
2015-02-27,40.043,40.099,39.61,39.783,37260516
2015-03-02,39.619,40.09,39.51,39.808,35188706
2015-03-03,39.518,39.765,39.093,39.264,34995365
2015-03-04,39.019,39.199,38.902,39.063,28381775
2015-03-05,39.073,39.228,38.848,39.112,25565379
2015-03-06,39.011,39.112,38.24,38.428,39955668
2015-03-09,38.275,39.13,38.275,38.875,35391411
2015-03-10,38.419,38.748,38.129,38.129,43164360
2015-03-11,38.393,38.438,37.958,38.087,35509792
2015-03-12,37.496,37.786,36.997,37.377,66162023
2015-03-13,36.925,37.625,36.842,37.54,63939847
2015-03-16,37.625,37.778,37.449,37.703,38880629
2015-03-17,37.531,37.95,37.331,37.823,34912476
2015-03-18,37.585,38.856,37.496,38.56,48714264
2015-03-19,38.332,38.637,38.303,38.356,37343632
2015-03-20,38.61,38.993,38.55,38.902,79257797
2015-03-23,38.919,39.13,38.81,38.875,28930042
2015-03-24,38.81,39.168,38.783,38.919,28122305
2015-03-25,38.938,38.938,37.595,37.615,47915344
2015-03-26,37.396,37.749,37.123,37.387,41330084
2015-03-27,37.305,37.585,37.042,37.169,37919454
2015-03-30,37.288,37.685,37.114,37.16,38633942
2015-03-31,36.997,37.224,36.778,36.882,38454954
2015-04-01,36.86,36.979,36.57,36.943,40635323
2015-04-02,36.887,36.962,36.398,36.551,41321044
2015-04-06,36.596,37.904,36.453,37.685,43234793
2015-04-07,37.703,38.021,37.478,37.677,31755308
2015-04-08,37.615,37.823,37.232,37.577,27284802
2015-04-09,37.424,37.759,37.424,37.634,28353649
2015-04-10,37.634,38.058,37.567,37.847,30887667
2015-04-13,37.651,38.157,37.55,37.885,33372830
2015-04-14,37.923,38.129,37.55,37.786,26723641
2015-04-15,37.885,38.521,37.814,38.341,30111453
2015-04-16,38.058,38.411,37.941,38.249,24811596
2015-04-17,37.804,37.866,37.341,37.759,46722360
2015-04-20,37.977,39.168,37.814,38.919,50767682
2015-04-21,39.011,39.148,38.582,38.68,28673508
2015-04-22,38.712,39.13,38.601,39.002,27625245
2015-04-23,38.911,39.563,38.829,39.319,51045333
2015-04-24,41.424,43.675,41.415,43.427,144323576
2015-04-27,42.851,43.665,42.841,43.573,65307100
2015-04-28,43.347,44.643,43.276,44.594,66941401
2015-04-29,44.2,44.736,44.001,44.51,52693219
2015-04-30,44.183,44.944,44.09,44.127,71344531
2015-05-01,44.071,44.345,43.909,44.135,42919218
2015-05-04,43.881,44.335,43.71,43.765,37520434
2015-05-05,43.383,43.693,42.92,43.182,55520090
2015-05-06,43.31,43.339,41.748,41.987,57792848
