DJIOpen,DJIHigh,DJILow,DJIClose,DJIVolume
5539.5,5603.8,5474.1,5541.6,107738346.0
5541.6,5643.5,5531.1,5600.2,90561654.0
5600.2,5644.9,5530.1,5601.2,99595489.0
5601.2,5633.0,5534.4,5579.6,95140602.0
5579.6,5623.3,5514.9,5551.4,93681203.0
5551.4,5563.3,5470.5,5503.3,100504511.0
5536.6,5646.4,5512.0,5600.2,94121053.0
5600.2,5655.8,5558.2,5642.4,100533835.0
5642.4,5700.2,5585.7,5629.8,96590977.0
5612.8,5612.8,5395.3,5470.5,123281949.0
5470.5,5605.2,5425.3,5581.0,101390977.0
5581.0,5622.6,5464.7,5583.9,102627068.0
5583.9,5626.5,5513.8,5568.7,93164662.0
5568.7,5662.3,5536.6,5586.1,111119543.0
5586.1,5628.7,5523.6,5585.0,119542111.0
5585.0,5706.0,5573.4,5683.6,98593985.0
5683.6,5755.9,5619.7,5669.5,98864662.0
5669.5,5724.1,5590.4,5655.4,92431579.0
5655.4,5696.3,5590.0,5626.9,82822556.0
5626.9,5681.1,5589.7,5636.6,74298496.0
5636.6,5712.1,5592.9,5643.9,75947368.0
5643.9,5701.3,5595.8,5670.6,90245865.0
5670.6,5703.5,5596.5,5626.9,91642105.0
5626.9,5664.5,5564.7,5630.9,83627820.0
5630.9,5682.9,5550.3,5587.1,93272932.0
5587.1,5670.2,5562.6,5637.7,88448120.0
5637.7,5706.7,5597.3,5671.7,91723308.0
5671.7,5712.5,5619.3,5689.7,87207519.0
5689.7,5737.1,5633.0,5682.9,86481203.0
5624.7,5624.7,5518.1,5594.4,92889474.0
5594.4,5644.6,5530.1,5560.4,96268421.0
5560.4,5601.2,5452.0,5486.0,107176686.0
5486.0,5540.2,5382.7,5487.1,117227814.0
5487.1,5577.4,5445.2,5532.6,93218797.0
5532.6,5614.6,5517.4,5592.9,78128571.0
5592.9,5656.1,5555.0,5620.0,102250370.0
5620.0,5653.3,5500.1,5549.9,104932331.0
5549.9,5600.5,5493.9,5551.7,93642857.0
5551.7,5593.6,5504.4,5535.5,98275940.0
5535.5,5610.6,5516.3,5564.7,89652632.0
5564.7,5621.8,5534.8,5588.6,102110532.0
5588.6,5619.3,5512.4,5553.9,111478195.0
5553.9,5601.2,5490.7,5566.9,104012030.0
5566.9,5618.6,5517.8,5568.0,90796241.0
5568.0,5611.7,5515.3,5573.4,77600752.0
5573.4,5606.3,5522.8,5569.1,88734586.0
5575.2,5578.1,5455.3,5498.3,99915789.0
5498.3,5555.7,5439.7,5478.0,97896992.0
5478.0,5529.0,5397.8,5464.3,84771429.0
5464.3,5486.3,5392.1,5421.0,92654887.0
5421.0,5486.3,5327.7,5474.1,111757895.0
5474.1,5534.8,5419.9,5475.1,91197744.0
5478.0,5559.7,5478.0,5518.1,96624812.0
5518.1,5601.8,5495.4,5582.6,88912782.0
5582.6,5663.1,5566.7,5624.7,103858647.0
5624.7,5691.6,5590.7,5625.4,101005257.0
5625.4,5677.5,5577.4,5635.1,88436842.0
5635.1,5729.6,5631.4,5687.5,96798496.0
5687.5,5778.7,5657.6,5748.8,86842105.0
5748.8,5794.6,5698.2,5736.3,92393233.0
5736.3,5803.5,5687.9,5778.0,95564662.0
5778.0,5833.0,5704.1,5762.1,97409774.0
5762.1,5815.7,5722.6,5762.9,74244361.0
5762.9,5798.7,5680.5,5709.7,77025564.0
5709.7,5743.7,5632.5,5673.8,78209774.0
5673.8,5734.4,5625.1,5693.4,86156391.0
5693.4,5712.6,5614.4,5643.2,79342105.0
5643.2,5662.8,5587.4,5624.7,71835338.0
5624.7,5697.8,5616.6,5665.7,87076692.0
5665.7,5718.5,5631.4,5697.5,85795489.0
5697.5,5750.7,5639.5,5667.2,104842105.0
5667.2,5708.9,5559.7,5697.1,100536090.0
5697.1,5727.0,5643.5,5687.9,76123308.0
5687.9,5747.7,5637.6,5668.7,91441353.0
5668.7,5725.6,5637.6,5668.3,89591729.0
5668.3,5714.8,5622.9,5658.0,89688722.0
5658.0,5687.1,5609.9,5649.5,88112030.0
5649.5,5689.7,5614.4,5652.8,67310526.0
5652.8,5683.4,5607.7,5628.0,84200752.0
5628.0,5693.8,5600.7,5648.4,86528571.0
5648.4,5709.3,5607.0,5659.4,99487218.0
5659.4,5722.2,5639.1,5705.2,117369925.0
5705.2,5770.6,5688.6,5717.8,75302256.0
5717.8,5760.3,5668.7,5719.3,88398496.0
5719.3,5739.2,5652.0,5682.7,87184962.0
5682.7,5715.2,5616.2,5677.5,91484211.0
5677.5,5724.4,5625.8,5654.6,106118797.0
5654.6,5749.2,5637.3,5730.0,77988722.0
5730.0,5769.9,5668.3,5720.4,87518797.0
5720.4,5749.9,5656.5,5703.0,75848120.0
5588.1,5622.1,5519.8,5550.8,82908271.0
5550.8,5622.5,5540.1,5581.9,85533835.0
5581.9,5628.0,5515.0,5603.7,95041353.0
5600.3,5600.3,5447.8,5520.5,117399242.0
5520.5,5562.7,5455.2,5510.6,89727068.0
5510.6,5527.9,5327.0,5349.5,94515789.0
5349.5,5438.7,5170.1,5358.8,15403759.0
5358.8,5465.3,5325.1,5376.9,115901498.0
5376.9,5500.4,5352.1,5464.2,107021053.0
5464.2,5490.4,5393.5,5426.8,92045865.0
5426.8,5446.1,5346.9,5390.9,73827068.0
5390.9,5447.9,5313.6,5346.6,95165414.0
5346.6,5402.0,5244.8,5354.7,104442851.0
5355.8,5469.4,5355.8,5422.0,91441353.0
5422.0,5503.0,5398.0,5473.1,78924812.0
5473.1,5497.5,5414.6,5434.6,63509774.0
5434.6,5503.7,5403.5,5481.9,76937594.0
5481.9,5558.1,5460.5,5528.9,91028571.0
5528.9,5628.8,5507.8,5594.8,99047368.0
5601.4,5703.5,5601.4,5679.8,99717293.0
5679.8,5719.0,5639.1,5674.3,69302256.0
5674.3,5716.5,5630.3,5696.1,78336090.0
5696.1,5754.6,5659.1,5718.7,88948872.0
5718.7,5746.4,5661.3,5713.5,75466917.0
5713.5,5747.2,5654.3,5681.3,73822556.0
5681.3,5746.0,5625.8,5705.0,70414286.0
5618.1,5713.9,5618.1,5647.3,81760150.0
5647.3,5695.0,5614.4,5666.9,77474436.0
5666.9,5701.7,5633.2,5665.8,73071429.0
5665.8,5722.7,5646.5,5689.5,76161654.0
5689.5,5728.7,5664.3,5699.4,66333835.0
5699.4,5747.5,5670.2,5721.3,75554887.0
5721.3,5735.0,5648.8,5689.8,78681203.0
5689.8,5762.0,5662.5,5733.5,80063910.0
5733.5,5761.6,5679.1,5722.7,69475940.0
5722.7,5742.7,5665.4,5693.9,63480451.0
5693.9,5735.3,5670.6,5711.3,70042105.0
5711.3,5747.9,5678.7,5712.4,66866165.0
5712.4,5716.8,5615.5,5647.7,72433083.0
5647.7,5659.9,5571.5,5616.2,58281203.0
5616.2,5668.0,5550.4,5648.4,77986466.0
5648.4,5682.1,5608.8,5656.9,79238346.0
5656.9,5669.5,5592.5,5607.0,81525564.0
5607.0,5696.5,5585.5,5659.9,78656391.0
5662.1,5756.4,5662.1,5733.8,70269925.0
5733.8,5767.9,5681.7,5727.2,84126316.0
5727.2,5777.5,5696.9,5754.9,85010526.0
5754.9,5815.6,5739.8,5771.9,89959398.0
5786.7,5871.4,5786.7,5838.5,110156391.0
5838.5,5920.6,5823.7,5889.2,97010526.0
5889.2,5929.5,5830.4,5888.8,101469931.0
5888.8,5919.9,5838.2,5877.4,89458647.0
5877.4,5908.8,5818.2,5867.7,89905263.0
5867.7,5925.8,5840.7,5888.5,117162406.0
5888.5,5913.2,5820.4,5894.7,67163910.0
5894.7,5952.1,5831.9,5874.0,103793227.0
5874.0,5928.8,5827.4,5877.4,101889468.0
5877.4,5928.0,5828.9,5868.9,112978189.0
5868.9,5904.0,5819.7,5872.9,93554887.0
5934.0,5972.4,5887.8,5932.9,87180451.0
5932.9,6023.8,5917.2,5992.9,104648120.0
5992.9,6025.3,5945.2,5979.8,85883459.0
5979.8,6032.4,5930.2,5966.8,98136090.0
5966.8,5985.0,5892.2,5930.6,92131579.0
5930.6,5956.7,5876.6,5921.7,89086466.0
5921.7,5999.6,5912.4,5969.4,89334586.0
5969.4,6043.9,5952.6,6010.0,72631579.0
6010.0,6077.8,5951.1,6004.8,103529323.0
6004.8,6056.2,5943.7,6020.8,99566165.0
6020.8,6101.3,5994.7,6059.2,107943603.0
6059.2,6119.6,6011.5,6094.2,106696241.0
6094.2,6162.8,6027.9,6090.9,93525564.0
6090.9,6114.7,6015.6,6061.8,92659398.0
6061.8,6081.9,5965.7,6036.5,99737594.0
6036.5,6080.1,5953.7,5992.5,94504511.0
5992.5,6047.6,5954.5,6007.0,82926316.0
6007.0,6063.7,5952.6,5972.7,86533083.0
5972.7,6054.7,5938.8,6007.0,100125564.0
6007.0,6055.8,5956.7,5993.2,98745113.0
5993.2,6063.7,5955.6,6029.4,110187970.0
6029.4,6082.7,5975.3,6021.9,105002250.0
6021.9,6083.1,5981.3,6041.7,89952632.0
6041.7,6125.5,6029.0,6081.2,111171429.0
6081.2,6200.4,6060.7,6177.7,114947368.0
6177.7,6238.8,6130.4,6206.0,113352638.0
6206.0,6247.4,6151.6,6219.8,90748872.0
6219.8,6292.9,6198.6,6255.6,79840602.0
6255.6,6314.5,6199.7,6266.0,106678195.0
6266.0,6317.1,6206.8,6274.2,96956391.0
6274.2,6350.6,6232.5,6313.0,108349618.0
6313.0,6414.4,6277.2,6348.0,119345865.0
6348.0,6407.7,6297.3,6346.9,87636090.0
6346.9,6428.2,6323.1,6397.6,104206015.0
6397.6,6482.2,6370.0,6430.0,112308271.0
6430.0,6463.6,6370.0,6418.5,104758641.0
6418.5,6498.2,6402.4,6471.8,118468427.0
6471.8,6565.7,6443.4,6547.8,107201504.0
6547.8,6606.3,6475.5,6528.4,118957895.0
6528.4,6566.4,6458.0,6499.3,85213534.0
6521.7,6553.0,6439.3,6521.7,93049624.0
6521.7,6577.2,6422.9,6442.7,116427068.0
6442.7,6482.2,6339.5,6422.9,112384962.0
6422.9,6491.1,6363.3,6437.1,109107513.0
6437.1,6441.2,6274.2,6381.9,112975940.0
6381.9,6496.7,6376.0,6463.9,86068421.0
6463.9,6545.6,6427.0,6473.3,100628571.0
6457.9,6457.9,6317.9,6402.5,111475946.0
6402.5,6465.6,6283.7,6303.7,111184962.0
6303.7,6377.1,6227.6,6304.9,103430075.0
6304.9,6388.7,6228.0,6268.4,100953383.0
6268.4,6354.5,6206.8,6308.3,117257143.0
6308.3,6399.1,6273.0,6346.8,112892487.0
6352.2,6499.4,6352.2,6473.6,118739104.0
6473.6,6597.4,6445.2,6484.4,147595489.0
6484.4,6539.8,6428.3,6489.0,77431579.0
6489.0,6546.7,6467.1,6522.9,37249624.0
6522.9,6594.7,6495.9,6546.7,57435338.0
6546.7,6607.8,6510.9,6560.9,57250376.0
6560.9,6624.0,6518.2,6549.4,76479699.0
6549.4,6580.9,6421.7,6448.3,90171429.0
6448.3,6511.4,6319.0,6442.5,104487964.0
6442.5,6586.4,6437.1,6544.1,102173690.0
6544.1,6647.2,6508.3,6567.2,119853377.0
6567.2,6621.8,6481.8,6600.7,121403008.0
6600.7,6650.3,6509.8,6549.5,125754129.0
6549.5,6677.2,6520.2,6625.7,125271435.0
6625.7,6725.4,6530.6,6703.8,123126316.0
6703.8,6773.5,6648.0,6709.2,100466165.0
6709.2,6816.2,6689.9,6762.3,119909774.0
6762.3,6800.8,6669.9,6726.9,118418791.0
6726.9,6818.5,6688.4,6765.4,121193239.0
6765.4,6863.9,6732.7,6833.1,120595489.0
6833.1,6893.1,6777.3,6843.9,99354135.0
6843.9,6934.7,6771.1,6883.9,128860150.0
6883.9,6913.1,6801.2,6850.0,132473684.0
6850.0,6953.6,6724.2,6755.8,154527062.0
6755.8,6798.1,6629.9,6696.5,122463158.0
6696.5,6748.8,6598.7,6660.7,100547368.0
6660.7,6823.5,6612.2,6656.1,122160902.0
6656.1,6766.9,6628.0,6740.7,112418791.0
6740.7,6845.0,6720.0,6823.9,118231579.0
6823.9,6912.4,6770.0,6813.1,130499994.0
6989.0,7084.4,6946.6,7067.5,106942099.0
7067.5,7112.9,6980.9,7020.1,117146611.0
7020.1,7035.9,6890.8,6927.4,111027068.0
6927.4,6984.7,6869.3,6931.6,107921059.0
6931.6,7049.8,6868.5,7008.2,104312036.0
7008.2,7099.8,6935.1,7037.8,118973690.0
7037.8,7076.3,6878.1,6983.2,129455639.0
6983.2,7028.6,6885.4,6925.1,105381197.0
6925.1,6978.2,6820.8,6877.7,114649624.0
6877.7,6957.0,6798.5,6918.9,98621053.0
6918.9,6984.0,6814.6,6852.7,121328577.0
6852.7,6966.6,6837.0,6945.9,120112782.0
6945.9,7017.1,6896.6,6944.7,121874430.0
6944.7,7047.1,6927.0,7000.9,114647362.0
7000.9,7103.3,6970.1,7079.4,105739850.0
7079.4,7158.3,7026.3,7085.2,111259405.0
7085.2,7111.7,6989.0,7039.4,110571429.0
7023.6,7023.6,6852.7,6878.9,114487218.0
6878.9,6996.3,6851.2,6935.5,110873684.0
6955.5,6997.4,6841.1,6896.6,105448878.0
6896.6,6944.2,6794.2,6877.7,121624060.0
6877.7,6901.5,6765.1,6820.3,112213534.0
6820.3,6890.5,6742.9,6804.8,122893979.0
6804.8,6933.6,6746.6,6905.3,101948126.0
6905.3,6984.9,6832.7,6876.2,109966917.0
6876.2,6954.7,6811.2,6880.7,114286460.0
6880.7,6918.5,6654.9,6740.6,107546611.0
6740.6,6743.2,6532.5,6583.5,125386466.0
6583.5,6667.7,6482.6,6611.1,116339104.0
6611.1,6636.7,6476.6,6517.0,107866923.0
6517.0,6540.4,6379.2,6477.4,112333089.0
6477.4,6561.6,6376.9,6526.1,122837594.0
